,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-12-11,122.43,122.76,120.55,122.41,122.41,86939786,0.0000,1.0,210.05,213.32,209.11,213.26,213.26,30979440,0.0000,1.0,3096.66,3118.67,3072.82,3116.42,3116.42,3064695,0.0000,1.0,615.01,624.0,596.8,609.99,609.99,46474974,0.0000,1.0
2020-12-10,120.5,123.87,120.15,123.24,123.24,81312170,0.0000,1.0,211.77,213.08,210.36,210.52,210.52,26467017,0.0000,1.0,3088.99,3142.1,3076.0,3101.49,3101.49,3030186,0.0000,1.0,574.37,627.75,566.34,627.07,627.07,67083153,0.0000,1.0
2020-12-09,124.53,125.95,121.0,121.78,121.78,115089193,0.0000,1.0,215.16,215.225,211.214,211.8,211.8,32440603,0.0000,1.0,3167.89,3174.43,3088.0,3104.2,3104.2,4100836,0.0000,1.0,653.69,654.32,588.0,604.48,604.48,71291190,0.0000,1.0
2020-12-08,124.37,124.98,123.09,124.38,124.38,82225512,0.0000,1.0,213.97,216.95,212.89,216.01,216.01,23284094,0.0000,1.0,3158.9,3184.13,3120.02,3177.29,3177.29,3286303,0.0000,1.0,625.505,651.28,618.5,649.88,649.88,64265029,0.0000,1.0
2020-12-07,122.31,124.57,122.25,123.75,123.75,86711990,0.0000,1.0,214.37,215.54,212.99,214.29,214.29,24619997,0.0000,1.0,3156.48,3180.76,3141.69,3158.0,3158.0,2751316,0.0000,1.0,604.9197,648.7856,603.05,641.76,641.76,56309709,0.0000,1.0
2020-12-04,122.6,122.8608,121.52,122.25,122.25,78260421,0.0000,1.0,214.22,215.38,213.18,214.36,214.36,24666039,0.0000,1.0,3198.21,3198.21,3158.76,3162.58,3162.58,2913611,0.0000,1.0,591.01,599.04,585.5,599.04,599.04,29401314,0.0000,1.0
2020-12-03,123.52,123.78,122.21,122.94,122.94,78967630,0.0000,1.0,214.61,216.3757,213.65,214.24,214.24,25120922,0.0000,1.0,3205.46,3228.64,3181.31,3186.73,3186.73,2892039,0.0000,1.0,590.02,598.97,582.43,593.38,593.38,42552003,0.0000,1.0
2020-12-02,122.02,123.37,120.89,123.08,123.08,89004195,0.0000,1.0,214.88,215.47,212.8,215.37,215.37,23724509,0.0000,1.0,3221.65,3232.0,3173.2601,3203.53,3203.53,3129304,0.0000,1.0,556.44,571.54,541.21,568.82,568.82,47775653,0.0000,1.0
2020-12-01,121.01,123.4693,120.01,122.72,122.72,125920963,0.0000,1.0,214.51,217.32,213.35,216.21,216.21,30498026,0.0000,1.0,3188.5,3248.95,3157.18,3220.08,3220.08,4493554,0.0000,1.0,597.59,597.85,572.05,584.76,584.76,39133346,0.0000,1.0
2020-11-30,116.97,120.97,116.81,119.05,119.05,169410176,0.0000,1.0,214.1,214.76,210.835,214.07,214.07,33064753,0.0000,1.0,3208.48,3228.39,3125.55,3168.04,3168.04,4063916,0.0000,1.0,602.21,607.8,554.51,567.6,567.6,63003052,0.0000,1.0
2020-11-27,116.57,117.49,116.22,116.59,116.59,46691331,0.0000,1.0,214.85,216.27,214.04,215.23,215.23,14512213,0.0000,1.0,3211.26,3216.19,3190.05,3195.34,3195.34,2392867,0.0000,1.0,581.16,598.78,578.45,585.76,585.76,37561078,0.0000,1.0
2020-11-25,115.55,116.75,115.17,116.03,116.03,76499234,0.0000,1.0,215.11,215.29,212.46,213.87,213.87,21012887,0.0000,1.0,3141.87,3198.0,3140.26,3185.07,3185.07,3790403,0.0000,1.0,550.06,574.0,545.37,574.0,574.0,48930162,0.0000,1.0
2020-11-24,113.91,115.85,112.59,115.17,115.17,113226248,0.0000,1.0,209.59,214.25,208.86,213.86,213.86,33830438,0.0000,1.0,3100.5,3134.25,3086.258,3118.06,3118.06,3570889,0.0000,1.0,540.4,559.99,526.2,555.38,555.38,52058771,0.0000,1.0
2020-11-23,117.18,117.6202,113.75,113.85,113.85,127959318,0.0000,1.0,210.95,212.29,208.16,210.11,210.11,25683507,0.0000,1.0,3116.6986,3139.745,3065.46,3098.39,3098.39,4708887,0.0000,1.0,503.5,526.0,501.79,521.85,521.85,50260304,0.0000,1.0
2020-11-20,118.64,118.77,117.29,117.34,117.34,73604287,0.0000,1.0,212.2,213.285,210.0,210.39,210.39,22843119,0.0000,1.0,3117.02,3132.89,3098.0456,3099.4,3099.4,3380138,0.0000,1.0,497.99,502.5,489.06,489.61,489.61,32911922,0.0000,1.0
2020-11-19,117.59,119.06,116.81,118.64,118.64,74112972,0.0000,1.0,211.38,213.03,209.93,212.42,212.42,24792746,0.0000,1.0,3105.31,3125.0,3080.92,3117.02,3117.02,3010270,0.0000,1.0,492.0,508.6112,487.57,499.27,499.27,62475346,0.0000,1.0
2020-11-18,118.61,119.82,118.0,118.03,118.03,76322111,0.0000,1.0,213.65,215.17,210.93,211.08,211.08,28372789,0.5600,1.0,3134.0,3140.0,3105.1,3105.46,3105.46,2916836,0.0000,1.0,448.35,496.0,443.5001,486.64,486.64,78044024,0.0000,1.0
2020-11-17,119.55,120.6741,118.96,119.39,119.39,74270973,0.0000,1.0,216.1,217.68,214.08,214.46,213.892538273,24154112,0.0000,1.0,3183.5445,3189.25,3135.26,3135.66,3135.66,3444735,0.0000,1.0,460.17,462.0,433.01,441.61,441.61,61188281,0.0000,1.0
2020-11-16,118.92,120.99,118.146,120.3,120.3,91183018,0.0000,1.0,214.87,217.74,214.52,217.23,216.655208845,24953344,0.0000,1.0,3093.2,3142.7,3072.685,3131.06,3131.06,3808676,0.0000,1.0,408.93,412.45,404.0868,408.09,408.09,26838635,0.0000,1.0
2020-11-13,119.44,119.6717,117.87,119.26,119.26,81688586,0.0000,1.0,216.36,217.42,214.16,216.51,215.937113967,18630307,0.0000,1.0,3122.0,3141.7227,3085.39,3128.81,3128.81,3762587,0.0000,1.0,410.85,412.5319,401.66,408.5,408.5,19830351,0.0000,1.0
2020-11-12,119.62,120.53,118.57,119.21,119.21,103350674,0.0000,1.0,217.21,219.11,214.46,215.44,214.86994519,21616115,0.0000,1.0,3159.95,3175.88,3086.05,3110.28,3110.28,4371208,0.0000,1.0,415.05,423.0,409.52,411.76,411.76,19940500,0.0000,1.0
2020-11-11,117.19,119.63,116.44,119.49,119.49,112294954,0.0000,1.0,212.39,218.04,212.2,216.55,215.977008127,29440788,0.0000,1.0,3061.78,3139.145,3050.0,3137.39,3137.39,4366923,0.0000,1.0,416.45,418.695,410.58,417.13,417.13,17357722,0.0000,1.0
2020-11-10,115.55,117.59,114.13,115.97,115.97,138023390,0.0000,1.0,214.5,216.5,209.72,211.01,210.451666982,44045120,0.0000,1.0,3095.02,3114.0,3019.4828,3035.02,3035.02,6590956,0.0000,1.0,420.09,420.09,396.0301,410.36,410.36,30284224,0.0000,1.0
2020-11-09,120.5,121.99,116.05,116.32,116.32,154515315,0.0000,1.0,224.435,228.12,217.88,218.39,217.812139482,44394950,0.0000,1.0,3231.03,3289.0,3112.1057,3143.74,3143.74,7190406,0.0000,1.0,439.5,452.5,421.0,421.26,421.26,34833025,0.0000,1.0
2020-11-06,118.32,119.2,116.13,118.69,118.69,114457922,0.2050,1.0,222.26,224.36,218.03,223.72,223.128036288,25231895,0.0000,1.0,3304.64,3322.0,3232.0,3311.37,3311.37,4647330,0.0000,1.0,436.1,436.57,424.28,429.95,429.95,21706014,0.0000,1.0
2020-11-05,117.95,119.62,116.8686,119.03,118.824767232,126387074,0.0000,1.0,222.04,224.12,221.15,223.29,222.699174069,36080137,0.0000,1.0,3319.97,3366.8,3288.88,3322.0,3322.0,5789285,0.0000,1.0,428.3,440.0,424.0001,438.09,438.09,28414523,0.0000,1.0
2020-11-04,114.14,115.59,112.35,114.95,114.75180201,138235482,0.0000,1.0,214.02,218.32,212.4185,216.39,215.817431487,42311777,0.0000,1.0,3159.99,3244.85,3139.73,3241.16,3241.16,6839041,0.0000,1.0,430.62,435.4,417.1,420.98,420.98,32143057,0.0000,1.0
2020-11-03,109.66,111.49,108.73,110.44,110.249578199,107624448,0.0000,1.0,203.89,208.12,203.12,206.43,205.883785674,27512030,0.0000,1.0,3018.53,3074.9,2980.98,3048.41,3048.41,4897880,0.0000,1.0,409.73,427.77,406.69,423.9,423.9,34351715,0.0000,1.0
2020-11-02,109.11,110.68,107.32,108.77,108.582457631,122866899,0.0000,1.0,204.29,205.28,200.12,202.33,201.794634285,30842163,0.0000,1.0,3061.74,3079.705,2950.12,3004.48,3004.48,7257350,0.0000,1.0,394.0,406.9799,392.3,400.51,400.51,29021118,0.0000,1.0
2020-10-30,111.06,111.99,107.72,108.86,108.672302452,190573476,0.0000,1.0,203.5,204.29,199.62,202.47,201.934263844,36980111,0.0000,1.0,3157.75,3167.004,3019.0,3036.15,3036.15,8396081,0.0000,1.0,406.8954,407.5915,379.11,388.04,388.04,42587639,0.0000,1.0
2020-10-29,112.37,116.93,112.2,115.32,115.121164052,146129173,0.0000,1.0,204.07,207.36,203.37,204.72,204.178310338,31432563,0.0000,1.0,3201.27,3257.25,3164.0,3211.01,3211.01,6596529,0.0000,1.0,409.96,418.06,406.46,410.83,410.83,22655308,0.0000,1.0
2020-10-28,115.05,115.43,111.1,111.2,111.008267799,143937823,0.0000,1.0,207.67,208.84,202.1,202.68,202.143708184,51195593,0.0000,1.0,3249.3,3264.02,3162.47,3162.78,3162.78,5588330,0.0000,1.0,416.48,418.6,406.0,406.02,406.02,25451409,0.0000,1.0
2020-10-27,115.49,117.28,114.5399,116.6,116.398957063,92276772,0.0000,1.0,211.59,214.67,210.329,213.25,212.685739936,36700325,0.0000,1.0,3224.94,3291.66,3211.3,3286.33,3286.33,4291047,0.0000,1.0,423.76,430.5,420.1,424.68,424.68,22686506,0.0000,1.0
2020-10-26,114.01,116.55,112.88,115.05,114.851629589,111850657,0.0000,1.0,213.85,216.3399,208.1,210.08,209.524127764,37111561,0.0000,1.0,3198.74,3282.9799,3153.3,3207.04,3207.04,5901151,0.0000,1.0,411.63,425.76,410.0,420.28,420.28,28239161,0.0000,1.0
2020-10-23,116.39,116.55,114.28,115.04,114.841646831,82572645,0.0000,1.0,215.03,216.28,213.16,216.23,215.657854848,18879608,0.0000,1.0,3191.0,3205.33,3140.0,3204.4,3204.4,3466687,0.0000,1.0,421.84,422.8859,407.3801,420.63,420.63,33716980,0.0000,1.0
2020-10-22,117.45,118.04,114.59,115.75,115.550422642,101987954,0.0000,1.0,213.93,216.055,211.7,214.89,214.321400491,22351450,0.0000,1.0,3189.87,3198.75,3121.94,3176.4,3176.4,4212005,0.0000,1.0,441.92,445.23,424.51,425.79,425.79,39993191,0.0000,1.0
2020-10-21,116.67,118.705,116.45,116.87,116.668491526,89945980,0.0000,1.0,213.12,216.92,213.12,214.8,214.231638632,22724906,0.0000,1.0,3212.5,3233.875,3160.0,3184.94,3184.94,4592736,0.0000,1.0,422.7,432.95,421.25,422.64,422.64,32370461,0.0000,1.0
2020-10-20,116.2,118.98,115.63,117.51,117.307388031,124423728,0.0000,1.0,215.8,217.37,213.0901,214.65,214.082035532,22753511,0.0000,1.0,3222.28,3266.0,3192.01,3217.01,3217.01,4509678,0.0000,1.0,431.75,431.75,419.0501,421.94,421.94,31656289,0.0000,1.0
2020-10-19,119.96,120.419,115.66,115.98,115.780026073,120639337,0.0000,1.0,220.415,222.3,213.72,214.22,213.653173313,27625841,0.0000,1.0,3299.61,3329.0,3192.735,3207.21,3207.21,5223626,0.0000,1.0,446.24,447.0,428.87,430.83,430.83,36287843,0.0000,1.0
2020-10-16,121.28,121.548,118.81,119.02,118.814784474,115393808,0.0000,1.0,220.15,222.29,219.32,219.66,219.078779059,26057882,0.0000,1.0,3363.23,3399.6606,3160.0,3272.71,3272.71,6474353,0.0000,1.0,454.44,455.9499,438.85,439.67,439.67,32775879,0.0000,1.0
2020-10-15,118.72,121.2,118.15,120.71,120.501870558,112559219,0.0000,1.0,217.1,220.36,216.01,219.66,219.078779059,22733064,0.0000,1.0,3292.01,3355.88,3280.0,3338.65,3338.65,5223448,0.0000,1.0,450.31,456.57,442.5,448.88,448.88,35672354,0.0000,1.0
2020-10-14,121.0,123.03,119.62,121.19,120.981042937,151062308,0.0000,1.0,223.0,224.22,219.13,220.86,220.275603856,23451713,0.0000,1.0,3447.0,3464.88,3340.0,3363.71,3363.71,5828916,0.0000,1.0,449.78,465.9,447.35,461.3,461.3,48045394,0.0000,1.0
2020-10-13,125.27,125.39,119.65,121.1,120.891198116,262330451,0.0000,1.0,222.72,225.21,220.43,222.86,222.27031185,28950843,0.0000,1.0,3467.99,3492.38,3424.217,3443.63,3443.63,5744697,0.0000,1.0,443.35,448.89,436.6,446.65,446.65,34463665,0.0000,1.0
2020-10-12,120.06,125.18,119.2845,124.4,124.185508222,240226769,0.0000,1.0,218.79,223.86,216.81,221.4,220.814175014,40461368,0.0000,1.0,3349.94,3496.24,3339.55,3442.93,3442.93,8364198,0.0000,1.0,442.0,448.74,438.58,442.3,442.3,38791133,0.0000,1.0
2020-10-09,115.28,117.0,114.92,116.97,116.768319105,100506865,0.0000,1.0,211.23,215.86,211.23,215.81,215.238966169,26458047,0.0000,1.0,3210.0,3288.99,3197.83,3286.65,3286.65,4907871,0.0000,1.0,430.13,434.5899,426.4601,434.0,434.0,28925656,0.0000,1.0
2020-10-08,116.25,116.4,114.5901,114.97,114.771767526,83477153,0.0000,1.0,210.51,211.19,208.32,210.58,210.022804763,19925837,0.0000,1.0,3224.99,3233.2944,3174.99,3190.55,3190.55,3174114,0.0000,1.0,438.44,439.0,425.3,425.92,425.92,40421116,0.0000,1.0
2020-10-07,114.62,115.55,114.13,115.08,114.881577863,96848985,0.0000,1.0,207.06,210.11,206.72,209.83,209.274789265,25681054,0.0000,1.0,3135.0,3200.0,3132.385,3195.69,3195.69,4309439,0.0000,1.0,419.87,429.9,413.845,425.3,425.3,43127709,0.0000,1.0
2020-10-06,115.7,116.12,112.25,113.16,112.964888347,161498212,0.0000,1.0,208.82,210.18,204.82,205.91,205.365161595,28554261,0.0000,1.0,3165.0,3182.0,3090.0,3099.96,3099.96,5086857,0.0000,1.0,423.79,428.7799,406.05,413.98,413.98,49146259,0.0000,1.0
2020-10-05,113.91,116.65,113.55,116.5,116.299129484,106243839,0.0000,1.0,207.22,210.41,206.98,210.38,209.823333963,21331561,0.0000,1.0,3145.84,3202.53,3140.85,3199.2,3199.2,3775332,0.0000,1.0,423.35,433.64,419.33,425.68,425.68,44722786,0.0000,1.0
